Row,Column,Value,Color
1,1,Article Not Clicked,0
1,2,Article Not Clicked,0
1,3,Article Not Clicked,0
1,4,Article Not Clicked,0
1,5,Article Not Clicked,0
2,1,Article Not Clicked,0
2,2,Article Not Clicked,0
2,3,Article Not Clicked,0
2,4,Article Not Clicked,0
2,5,Article Not Clicked,0
3,1,Article Not Clicked,0
3,2,Article Not Clicked,0
3,3,Article Not Clicked,0
3,4,Article Not Clicked,0
3,5,Article Not Clicked,0
4,1,Article Not Clicked,0
4,2,Article Not Clicked,0
4,3,Article Not Clicked,0
4,4,Article Not Clicked,0
4,5,Article Not Clicked,0
5,1,Article Not Clicked,0
5,2,Article Not Clicked,0
5,3,Article Not Clicked,0
5,4,Article Not Clicked,0
5,5,Article Not Clicked,0
6,1,Article Not Clicked,0
6,2,Article Not Clicked,0
6,3,Article Not Clicked,0
6,4,Article Not Clicked,0
6,5,Article Not Clicked,0
7,1,Article Not Clicked,0
7,2,Article Not Clicked,0
7,3,Article Not Clicked,0
7,4,Article Not Clicked,0
7,5,Article Not Clicked,0
8,1,Article Not Clicked,0
8,2,Article Not Clicked,0
8,3,Article Not Clicked,0
8,4,Article Not Clicked,0
8,5,Article Not Clicked,0
9,1,Article Not Clicked,0
9,2,Article Not Clicked,0
9,3,Article Not Clicked,0
9,4,Article Not Clicked,0
9,5,Article Not Clicked,0
10,1,Article Not Clicked,0
10,2,Article Not Clicked,0
10,3,Article Not Clicked,0
10,4,Article Not Clicked,0
10,5,Article Not Clicked,0
11,1,Article Not Clicked,0
11,2,Article Not Clicked,0
11,3,Article Not Clicked,0
11,4,Article Not Clicked,0
11,5,Article Not Clicked,0
12,1,Article Not Clicked,0
12,2,Article Not Clicked,0
12,3,Article Not Clicked,0
12,4,Article Not Clicked,0
12,5,Article Not Clicked,0
13,1,Article Not Clicked,0
13,2,Article Not Clicked,0
13,3,Article Not Clicked,0
13,4,Article Not Clicked,0
13,5,Article Not Clicked,0
14,1,Article Not Clicked,0
14,2,Article Not Clicked,0
14,3,Article Not Clicked,0
14,4,Article Not Clicked,0
14,5,Article Not Clicked,0
15,1,Article Not Clicked,0
15,2,Article Not Clicked,0
15,3,Article Not Clicked,0
15,4,Article Not Clicked,0
15,5,Article Not Clicked,0
16,1,Article Not Clicked,0
16,2,Article Not Clicked,0
16,3,Article Not Clicked,0
16,4,Article Not Clicked,0
16,5,Article Not Clicked,0
17,1,Article Not Clicked,0
17,2,Article Not Clicked,0
17,3,Article Not Clicked,0
17,4,Article Not Clicked,0
17,5,Article Not Clicked,0
18,1,Article Not Clicked,0
18,2,Article Not Clicked,0
18,3,Article Not Clicked,0
18,4,Article Not Clicked,0
18,5,Article Not Clicked,0
19,1,Article Not Clicked,0
19,2,Article Not Clicked,0
19,3,Article Not Clicked,0
19,4,Article Not Clicked,0
19,5,Article Not Clicked,0
20,1,Article Not Clicked,0
20,2,Article Not Clicked,0
20,3,Article Not Clicked,0
20,4,Article Not Clicked,0
20,5,Article Not Clicked,0
21,1,Article Not Clicked,0
21,2,Article Not Clicked,0
21,3,Article Not Clicked,0
21,4,Article Not Clicked,0
21,5,Article Not Clicked,0
22,1,Article Not Clicked,0
22,2,Article Not Clicked,0
22,3,Article Not Clicked,0
22,4,Article Not Clicked,0
22,5,Article Not Clicked,0
23,1,Article Not Clicked,0
23,2,Article Not Clicked,0
23,3,Article Not Clicked,0
23,4,Article Not Clicked,0
23,5,Article Not Clicked,0
24,1,Article Not Clicked,0
24,2,Article Not Clicked,0
24,3,Article Not Clicked,0
24,4,Article Not Clicked,0
24,5,Article Not Clicked,0
25,1,Article Not Clicked,0
25,2,Article Not Clicked,0
25,3,Article Not Clicked,0
25,4,Article Not Clicked,0
25,5,Article Not Clicked,0
26,1,Article Not Clicked,0
26,2,Article Not Clicked,0
26,3,Article Not Clicked,0
26,4,Article Not Clicked,0
26,5,Article Not Clicked,0
27,1,Article Not Clicked,0
27,2,Article Not Clicked,0
27,3,Article Not Clicked,0
27,4,Article Not Clicked,0
27,5,Article Not Clicked,0
28,1,Article Not Clicked,0
28,2,Article Not Clicked,0
28,3,Article Not Clicked,0
28,4,Article Not Clicked,0
28,5,Article Not Clicked,0
29,1,Article Not Clicked,0
29,2,Article Not Clicked,0
29,3,Article Not Clicked,0
29,4,Article Not Clicked,0
29,5,Article Not Clicked,0
30,1,Article Not Clicked,0
30,2,Article Not Clicked,0
30,3,Article Not Clicked,0
30,4,Article Not Clicked,0
30,5,Article Not Clicked,0
31,1,Article Not Clicked,0
31,2,Article Not Clicked,0
31,3,Article Not Clicked,0
31,4,Article Not Clicked,0
31,5,Article Not Clicked,0
32,1,Article Not Clicked,0
32,2,Article Not Clicked,0
32,3,Article Not Clicked,0
32,4,Article Not Clicked,0
32,5,Article Not Clicked,0
33,1,Article Not Clicked,0
33,2,Article Not Clicked,0
33,3,Article Not Clicked,0
33,4,Article Not Clicked,0
33,5,Article Not Clicked,0
34,1,Article Not Clicked,0
34,2,Article Not Clicked,0
34,3,Article Not Clicked,0
34,4,Article Not Clicked,0
34,5,Article Not Clicked,0
35,1,Article Not Clicked,0
35,2,Article Not Clicked,0
35,3,Article Not Clicked,0
35,4,Article Not Clicked,0
35,5,Article Not Clicked,0
36,1,Article Not Clicked,0
36,2,Article Not Clicked,0
36,3,Article Not Clicked,0
36,4,Article Not Clicked,0
36,5,Article Not Clicked,0
37,1,Article Not Clicked,0
37,2,Article Not Clicked,0
37,3,Article Not Clicked,0
37,4,Article Not Clicked,0
37,5,Article Not Clicked,0
38,1,Article Not Clicked,0
38,2,Article Not Clicked,0
38,3,Article Not Clicked,0
38,4,Article Not Clicked,0
38,5,Article Not Clicked,0
39,1,WHO team: Coronavirus unlikely to have leaked from China lab,1
39,2,Article Not Clicked,0
39,3,Article Not Clicked,0
39,4,Article Not Clicked,0
39,5,Article Not Clicked,0
40,1,Article Not Clicked,0
40,2,Article Not Clicked,0
40,3,Article Not Clicked,0
40,4,Article Not Clicked,0
40,5,Article Not Clicked,0
41,1,Article Not Clicked,0
41,2,Article Not Clicked,0
41,3,Article Not Clicked,0
41,4,Article Not Clicked,0
41,5,Article Not Clicked,0
42,1,Article Not Clicked,0
42,2,Article Not Clicked,0
42,3,Article Not Clicked,0
42,4,Article Not Clicked,0
42,5,Article Not Clicked,0
43,1,Article Not Clicked,0
43,2,Article Not Clicked,0
43,3,Article Not Clicked,0
43,4,Article Not Clicked,0
43,5,Article Not Clicked,0
44,1,Article Not Clicked,0
44,2,Article Not Clicked,0
44,3,Article Not Clicked,0
44,4,Article Not Clicked,0
44,5,Article Not Clicked,0
45,1,Article Not Clicked,0
45,2,Article Not Clicked,0
45,3,Article Not Clicked,0
45,4,Article Not Clicked,0
45,5,Article Not Clicked,0
46,1,Article Not Clicked,0
46,2,Article Not Clicked,0
46,3,Article Not Clicked,0
46,4,Article Not Clicked,0
46,5,Article Not Clicked,0
47,1,Article Not Clicked,0
47,2,Article Not Clicked,0
47,3,Article Not Clicked,0
47,4,Article Not Clicked,0
47,5,Article Not Clicked,0
48,1,Article Not Clicked,0
48,2,Article Not Clicked,0
48,3,Article Not Clicked,0
48,4,Article Not Clicked,0
48,5,Article Not Clicked,0
49,1,Article Not Clicked,0
49,2,Article Not Clicked,0
49,3,Article Not Clicked,0
49,4,Article Not Clicked,0
49,5,Article Not Clicked,0
50,1,Article Not Clicked,0
50,2,Article Not Clicked,0
50,3,Article Not Clicked,0
50,4,Article Not Clicked,0
50,5,Article Not Clicked,0
51,1,Article Not Clicked,0
51,2,Article Not Clicked,0
51,3,Article Not Clicked,0
51,4,Article Not Clicked,0
51,5,Article Not Clicked,0
52,1,Article Not Clicked,0
52,2,Article Not Clicked,0
52,3,Article Not Clicked,0
52,4,Article Not Clicked,0
52,5,Article Not Clicked,0
53,1,Article Not Clicked,0
53,2,Article Not Clicked,0
53,3,A Monolith Appears in Turkey,1
53,4,Article Not Clicked,0
53,5,Article Not Clicked,0
54,1,Article Not Clicked,0
54,2,Article Not Clicked,0
54,3,Article Not Clicked,0
54,4,Article Not Clicked,0
54,5,Article Not Clicked,0
55,1,Article Not Clicked,0
55,2,Article Not Clicked,0
55,3,Article Not Clicked,0
55,4,Article Not Clicked,0
55,5,Article Not Clicked,0
56,1,Article Not Clicked,0
56,2,Article Not Clicked,0
56,3,Article Not Clicked,0
56,4,Article Not Clicked,0
56,5,Article Not Clicked,0
57,1,Article Not Clicked,0
57,2,Article Not Clicked,0
57,3,Article Not Clicked,0
57,4,Article Not Clicked,0
57,5,Article Not Clicked,0
58,1,Article Not Clicked,0
58,2,Article Not Clicked,0
58,3,Article Not Clicked,0
58,4,Article Not Clicked,0
58,5,Article Not Clicked,0
59,1,Article Not Clicked,0
59,2,Article Not Clicked,0
59,3,Article Not Clicked,0
59,4,Article Not Clicked,0
59,5,Article Not Clicked,0
60,1,Article Not Clicked,0
60,2,Article Not Clicked,0
60,3,Article Not Clicked,0
60,4,Article Not Clicked,0
60,5,Article Not Clicked,0
61,1,Article Not Clicked,0
61,2,Article Not Clicked,0
61,3,Article Not Clicked,0
61,4,Article Not Clicked,0
61,5,Article Not Clicked,0
62,1,Article Not Clicked,0
62,2,Article Not Clicked,0
62,3,Article Not Clicked,0
62,4,Article Not Clicked,0
62,5,Article Not Clicked,0
63,1,Article Not Clicked,0
63,2,Article Not Clicked,0
63,3,Article Not Clicked,0
63,4,Article Not Clicked,0
63,5,Article Not Clicked,0
64,1,Article Not Clicked,0
64,2,Article Not Clicked,0
64,3,Article Not Clicked,0
64,4,Article Not Clicked,0
64,5,Article Not Clicked,0
65,1,Article Not Clicked,0
65,2,Article Not Clicked,0
65,3,Article Not Clicked,0
65,4,Article Not Clicked,0
65,5,Article Not Clicked,0
66,1,Article Not Clicked,0
66,2,Article Not Clicked,0
66,3,Article Not Clicked,0
66,4,Article Not Clicked,0
66,5,Article Not Clicked,0
67,1,Article Not Clicked,0
67,2,Article Not Clicked,0
67,3,Article Not Clicked,0
67,4,Article Not Clicked,0
67,5,Where Did Covid Come From? Investigator Foreshadows Fresh Clues,1
68,1,Article Not Clicked,0
68,2,Article Not Clicked,0
68,3,Article Not Clicked,0
68,4,Article Not Clicked,0
68,5,Article Not Clicked,0
69,1,Article Not Clicked,0
69,2,Article Not Clicked,0
69,3,Article Not Clicked,0
69,4,Article Not Clicked,0
69,5,Article Not Clicked,0
70,1,Article Not Clicked,0
70,2,Article Not Clicked,0
70,3,Article Not Clicked,0
70,4,Article Not Clicked,0
70,5,Article Not Clicked,0
71,1,Article Not Clicked,0
71,2,Article Not Clicked,0
71,3,Article Not Clicked,0
71,4,Article Not Clicked,0
71,5,Article Not Clicked,0
72,1,Article Not Clicked,0
72,2,Article Not Clicked,0
72,3,Article Not Clicked,0
72,4,Article Not Clicked,0
72,5,Article Not Clicked,0
73,1,Article Not Clicked,0
73,2,Article Not Clicked,0
73,3,Article Not Clicked,0
73,4,Article Not Clicked,0
73,5,Article Not Clicked,0
74,1,Article Not Clicked,0
74,2,Article Not Clicked,0
74,3,Article Not Clicked,0
74,4,Article Not Clicked,0
74,5,Article Not Clicked,0
75,1,Article Not Clicked,0
75,2,Article Not Clicked,0
75,3,Article Not Clicked,0
75,4,Article Not Clicked,0
75,5,Article Not Clicked,0
76,1,Article Not Clicked,0
76,2,Article Not Clicked,0
76,3,Article Not Clicked,0
76,4,Article Not Clicked,0
76,5,Article Not Clicked,0
77,1,Article Not Clicked,0
77,2,Article Not Clicked,0
77,3,Article Not Clicked,0
77,4,Article Not Clicked,0
77,5,Article Not Clicked,0
78,1,Article Not Clicked,0
78,2,Article Not Clicked,0
78,3,Article Not Clicked,0
78,4,Article Not Clicked,0
78,5,Article Not Clicked,0
79,1,Article Not Clicked,0
79,2,Article Not Clicked,0
79,3,Article Not Clicked,0
79,4,Article Not Clicked,0
79,5,Article Not Clicked,0
80,1,Article Not Clicked,0
80,2,Article Not Clicked,0
80,3,Article Not Clicked,0
80,4,Article Not Clicked,0
80,5,Article Not Clicked,0
